sujet_id|titre|etiquette|theme|enjeu
6070|Loi sur le renseignement|Renseignement|Armée et sécurité|Donner au Service de renseignement de nouveaux moyens (surveillance des communications, intrusion informatique), sur autorisation judiciaire et politique. Référendum de la gauche et de défenseurs des libertés.
6060|AVSplus|AVSplus|État social et retraites|Augmenter toutes les rentes AVS de 10 %. Initiative des syndicats.
6050|Économie verte|Économie verte|Environnement, énergie, nature|Ramener d'ici 2050 l'empreinte écologique de la Suisse à l'équivalent d'une planète. Initiative des Verts.
6080|Sortie programmée du nucléaire|Sortie du nucléaire|Environnement, énergie, nature|Limiter à 45 ans la durée d'exploitation des centrales nucléaires, avec la fermeture de trois d'entre elles dès 2017. Initiative des Verts.
6110|Réforme de l'imposition des entreprises III|RIE III|Fiscalité et finances|Supprimer les statuts fiscaux privilégiés des multinationales en les compensant par de nouveaux allègements (patent box, déductions pour la recherche, intérêts notionnels). Référendum de la gauche et des syndicats.
6100|FORTA (fonds routes nationales et agglomérations)|FORTA|Transports, territoire, logement|Créer un fonds permanent pour les routes nationales et le trafic d'agglomération, alimenté notamment par une hausse de 4 centimes de la surtaxe sur les carburants.
6090|Naturalisation facilitée (troisième génération)|Naturalisation 3e gén.|Immigration et souveraineté|Faciliter la naturalisation des jeunes étrangers de la troisième génération, nés et scolarisés en Suisse. Seule l'UDC s'y opposait.
6120|Loi sur l'énergie (Stratégie 2050)|Loi sur l'énergie|Environnement, énergie, nature|Premier paquet de la Stratégie énergétique 2050 : pas de nouvelles centrales nucléaires, promotion des renouvelables et de l'efficacité. Référendum de l'UDC.
6150|Prévoyance vieillesse 2020|Prévoyance 2020|État social et retraites|Réforme globale des retraites : âge des femmes à 65 ans, baisse du taux de conversion LPP compensée par 70 francs de plus par mois sur les nouvelles rentes AVS. Référendum de syndicats romands et de magazines de consommateurs, rejoints par le PLR, l'UDC et le patronat.
6140|TVA pour l'AVS (2017)|TVA pour l'AVS 2017|État social et retraites|Relever la TVA de 0,6 point en faveur de l'AVS, volet financier de Prévoyance 2020. Tombe à 49,95 % de oui et sans la majorité des cantons.
6130|Sécurité alimentaire (contre-projet)|Sécurité alimentaire|Agriculture et alimentation|Inscrire dans la Constitution la sécurité de l'approvisionnement : terres cultivables, production adaptée au site, commerce durable. Contre-projet à une initiative de l'Union suisse des paysans.
6170|No Billag (suppression de la redevance)|No Billag|Médias et culture|Supprimer la redevance radio-TV et interdire à la Confédération de subventionner des diffuseurs. Initiative de Jeunes libéraux-radicaux et de Jeunes UDC.
6160|Nouveau régime financier 2021|Régime financier 2021|Fiscalité et finances|Proroger jusqu'en 2035 le droit de la Confédération de prélever l'impôt fédéral direct et la TVA. Sans opposition organisée.
6190|Loi sur les jeux d'argent|Jeux d'argent|Économie et monnaie|Réserver les jeux d'argent en ligne aux casinos suisses et bloquer l'accès aux sites étrangers. Référendum des jeunesses de partis (PLR, UDC, PVL, Verts) contre le blocage d'Internet.
6180|Monnaie pleine|Monnaie pleine|Économie et monnaie|Réserver à la BNS la création de toute la monnaie, y compris scripturale, en interdisant aux banques de créer de l'argent par le crédit. Initiative d'un comité d'économistes et de citoyens.
6220|Souveraineté alimentaire|Souveraineté alimentaire|Agriculture et alimentation|Réorienter l'agriculture vers une production paysanne, locale et diversifiée, protégée par des droits de douane, sans OGM. Initiative du syndicat paysan Uniterre, soutenue par la gauche.
6210|Aliments équitables|Aliments équitables|Agriculture et alimentation|Imposer des normes écologiques et sociales à toutes les denrées vendues en Suisse, importations comprises. Initiative des Verts.
6200|Voies cyclables (contre-projet)|Voies cyclables|Transports, territoire, logement|Inscrire les voies cyclables dans la Constitution, au même titre que les chemins pédestres. Contre-projet à l'initiative vélo.
6250|Surveillance des assurés|Surveillance des assurés|État social et retraites|Permettre aux assurances sociales de faire observer par des détectives les assurés soupçonnés d'abus. Référendum d'un comité citoyen lancé sur Internet, soutenu par la gauche.
6240|Autodétermination (« juges étrangers »)|Autodétermination|Immigration et souveraineté|Faire primer la Constitution sur le droit international (sauf règles impératives) et obliger à renégocier ou dénoncer les traités contraires. Initiative de l'UDC.
6230|Vaches à cornes|Vaches à cornes|Agriculture et alimentation|Verser une contribution aux paysans qui laissent leurs vaches et leurs chèvres porter leurs cornes. Initiative du paysan de montagne Armin Capaul.
6260|Contre le mitage|Mitage|Transports, territoire, logement|Geler la surface totale des zones à bâtir et n'en créer de nouvelles qu'en compensation. Initiative des Jeunes Verts.
6280|Directive de l'UE sur les armes|Directive UE armes|Europe et international|Reprendre la directive européenne révisée sur les armes (acquis de Schengen), qui soumet les armes semi-automatiques à grand chargeur à autorisation exceptionnelle. Référendum des tireurs soutenu par l'UDC ; l'enjeu réel était le maintien dans Schengen et Dublin.
6270|RFFA (réforme fiscale et AVS)|RFFA|Fiscalité et finances|Seconde version de la réforme de l'imposition des entreprises, couplée à deux milliards par an pour l'AVS. Référendum de la gauche alternative, des Jeunes Verts et de milieux romands contre ce « marchandage ».
6300|Norme pénale contre l'homophobie|Norme anti-homophobie|Société, famille, formation|Étendre la norme pénale antiraciste à la discrimination et à l'incitation à la haine fondées sur l'orientation sexuelle. Référendum de l'UDF et de milieux chrétiens-conservateurs.
6290|Davantage de logements abordables|Logements abordables|Transports, territoire, logement|Porter à 10 % la part des logements d'utilité publique dans la construction neuve et donner un droit de préemption aux communes. Initiative de l'Association suisse des locataires.
6350|Avions de combat|Avions de combat|Armée et sécurité|Crédit de 6 milliards pour de nouveaux avions de combat (le F-35 sera choisi ensuite). Référendum du GSsA, du PS et des Verts.
6340|Congé de paternité|Congé paternité|Société, famille, formation|Deux semaines de congé paternité payé par les APG, contre-projet indirect à une initiative pour quatre semaines. Référendum d'élus UDC et de Jeunes libéraux-radicaux.
6330|Déductions fiscales pour enfants|Déductions pour enfants|Fiscalité et finances|Relever la déduction des frais de garde par des tiers et, par ajout du Parlement, la déduction générale pour enfants, qui profitait surtout aux hauts revenus. Référendum du PS.
6320|Loi sur la chasse|Loi sur la chasse|Environnement, énergie, nature|Permettre de tirer des loups et d'autres espèces protégées avant qu'ils ne causent des dégâts. Référendum des organisations de protection de la nature.
6310|Initiative de limitation|Limitation|Immigration et souveraineté|Mettre fin à la libre circulation des personnes avec l'UE, par la négociation ou la dénonciation. Initiative de l'UDC et de l'ASIN.
6370|Contre le commerce de guerre|Commerce de guerre|Armée et sécurité|Interdire à la BNS, aux fondations et aux caisses de pension de financer les producteurs de matériel de guerre. Initiative du GSsA et des Jeunes Verts.
6360|Entreprises responsables|Entreprises responsables|Économie et monnaie|Rendre les multinationales suisses responsables des violations des droits humains et des normes environnementales commises à l'étranger. Majorité du peuple mais pas des cantons.
6400|Libre-échange avec l'Indonésie|Accord Indonésie|Europe et international|Accord AELE–Indonésie, dont les concessions sur l'huile de palme sont conditionnées à une production durable. Référendum du syndicat paysan Uniterre, soutenu par les Verts.
6390|e-ID privée (LSIE, 2021)|e-ID privée 2021|Institutions et numérique|Créer une identité électronique délivrée par des fournisseurs privés reconnus par l'État. Référendum d'organisations de défense des données, soutenu par la gauche.
6380|Interdiction de se dissimuler le visage (« burqa »)|Burqa|Société, famille, formation|Interdire de se couvrir le visage dans l'espace public. Initiative du comité d'Egerkingen, proche de l'UDC.
6450|Mesures policières contre le terrorisme|Antiterrorisme (MPT)|Armée et sécurité|Permettre à la police des mesures préventives (assignation, interdiction de contact, bracelet) contre des « terroristes potentiels » dès 12 ans. Référendum des jeunesses de gauche et vert'libérale et du Parti pirate.
6440|Loi sur le CO2|Loi sur le CO2|Environnement, énergie, nature|Révision pour tenir l'Accord de Paris : taxe sur les billets d'avion, hausse possible de la taxe sur le mazout, fonds pour le climat. Référendum des milieux pétroliers et automobiles, de l'UDC et de grévistes du climat romands.
6430|Loi COVID-19 (juin 2021)|COVID juin 2021|Santé|Base légale des mesures du Conseil fédéral contre la pandémie, surtout des aides financières. Premier référendum des « Amis de la Constitution ».
6420|Pesticides de synthèse|Pesticides|Agriculture et alimentation|Interdire en dix ans les pesticides de synthèse dans l'agriculture et l'importation d'aliments qui en contiennent. Initiative d'un comité citoyen (fondation Future3).
6410|Eau potable propre|Eau potable|Agriculture et alimentation|Réserver les paiements directs aux exploitations sans pesticides ni antibiotiques préventifs, et nourrissant leur bétail avec leur propre fourrage. Initiative de l'association « Une eau propre pour tous ».
6470|Mariage pour tous|Mariage pour tous|Société, famille, formation|Ouvrir le mariage civil aux couples de même sexe, avec accès au don de sperme pour les couples de femmes. Référendum de l'UDF et d'élus UDC, du Centre et du PEV.
6460|Initiative 99 %|Initiative 99 %|Fiscalité et finances|Imposer une fois et demie les revenus du capital au-delà d'un seuil, et redistribuer le produit. Initiative de la Jeunesse socialiste.
6500|Loi COVID-19 (novembre 2021, certificat)|COVID nov. 2021|Santé|Base légale du certificat COVID et du traçage des contacts. Deuxième référendum, au sommet de la contestation des mesures sanitaires.
6490|Initiative sur la justice (tirage au sort)|Juges tirés au sort|Institutions et numérique|Désigner les juges fédéraux par tirage au sort parmi des candidats qualifiés, pour les soustraire aux partis. Initiative de l'entrepreneur Adrian Gasser.
6480|Soins infirmiers forts|Soins infirmiers|Santé|Renforcer les soins infirmiers : formation, conditions de travail, facturation directe de certaines prestations. Initiative de l'Association suisse des infirmières et infirmiers.
6540|Aide aux médias|Aide aux médias|Médias et culture|Paquet d'aide aux médias : distribution des journaux, médias en ligne, radios et télévisions locales. Référendum d'éditeurs indépendants et d'élus UDC, PLR et du Centre.
6530|Droits de timbre (droit d'émission)|Droits de timbre|Fiscalité et finances|Supprimer le droit de timbre d'émission sur le capital propre des entreprises. Référendum du PS, des Verts et des syndicats.
6520|Publicité pour le tabac|Pub pour le tabac|Santé|Interdire la publicité pour le tabac partout où des mineurs peuvent la voir. Initiative d'organisations médicales et de ligues de santé.
6510|Expérimentation animale et humaine|Expérimentation animale|Santé|Interdire toute expérimentation sur les animaux et les humains, ainsi que l'importation de nouveaux produits qui en sont issus. Initiative d'un comité citoyen ; aucun parti ne la soutenait.
6570|Frontex|Frontex|Europe et international|Relever la contribution suisse à l'agence européenne de garde-frontières (acquis de Schengen). Référendum d'organisations de migrants, soutenu par la gauche.
6560|Don d'organes (consentement présumé)|Don d'organes|Santé|Considérer comme donneur quiconque ne s'y est pas opposé de son vivant, les proches gardant un droit de refus. Référendum de médecins, d'éthiciens et de théologiens.
6550|Loi sur le cinéma (« lex Netflix »)|Lex Netflix|Médias et culture|Obliger les plateformes de streaming à investir 4 % de leur chiffre d'affaires suisse dans la création suisse. Référendum des jeunesses PLR, UDC et PVL.
6610|Impôt anticipé sur les obligations|Impôt anticipé|Fiscalité et finances|Supprimer l'impôt anticipé sur les intérêts des obligations suisses pour rapatrier ce marché. Référendum de la gauche et des syndicats.
6600|AVS 21|AVS 21|État social et retraites|Relever l'âge de la retraite des femmes de 64 à 65 ans, avec des compensations pour la génération de transition. Référendum de la gauche, des syndicats et d'associations de femmes.
6590|TVA pour l'AVS (2022)|TVA pour l'AVS 2022|État social et retraites|Relever la TVA de 0,4 point en faveur de l'AVS, volet financier d'AVS 21, lié à la loi.
6580|Élevage intensif|Élevage intensif|Agriculture et alimentation|Inscrire dans la Constitution des exigences de bien-être animal au moins égales au cahier des charges de Bio Suisse, importations comprises. Initiative de Sentience Politics.
6640|Loi COVID-19 (juin 2023)|COVID 2023|Santé|Prolonger certaines dispositions de la loi COVID jusqu'en 2024. Troisième référendum des milieux opposés aux mesures sanitaires.
6630|Loi sur le climat|Loi climat|Environnement, énergie, nature|Viser la neutralité carbone en 2050 et financer le remplacement des chauffages fossiles et l'innovation. Contre-projet à l'initiative des glaciers ; référendum de l'UDC.
6620|Imposition minimale de l'OCDE|Impôt minimal OCDE|Fiscalité et finances|Appliquer l'impôt minimal de 15 % aux grandes entreprises (OCDE/G20), en laissant 75 % des recettes supplémentaires aux cantons. Le PS s'opposait à cette répartition.
6660|Initiative sur les rentes|Rentes à 66 ans|État social et retraites|Porter l'âge de la retraite à 66 ans, puis l'indexer sur l'espérance de vie. Initiative des Jeunes libéraux-radicaux.
6650|13e rente AVS|13e rente AVS|État social et retraites|Verser chaque année une 13e rente AVS. Initiative des syndicats : première initiative de gauche sur l'État social à passer, avec des voix bien au-delà de la gauche.
6700|Loi sur l'électricité (renouvelables)|Loi sur l'électricité|Environnement, énergie, nature|Accélérer le développement des énergies renouvelables indigènes et sécuriser l'approvisionnement, en assouplissant la protection du paysage. Référendum de la Fondation Franz Weber et d'opposants aux éoliennes.
6690|« Pour la liberté et l'intégrité physique »|Liberté et intégrité|Santé|Exiger le consentement de la personne pour toute atteinte à son intégrité physique ou psychique : l'initiative visait l'obligation vaccinale. Initiative du Mouvement suisse pour la liberté.
6680|Frein aux coûts de la santé|Frein aux coûts|Santé|Obliger la Confédération et les cantons à agir si les coûts de la santé augmentent nettement plus vite que les salaires. Initiative du Centre.
6670|Allègement des primes|Allègement des primes|Santé|Plafonner les primes d'assurance-maladie à 10 % du revenu disponible, par des réductions financées aux deux tiers par la Confédération. Initiative du PS.
6720|Réforme de la prévoyance professionnelle (LPP)|Réforme LPP|État social et retraites|Abaisser le taux de conversion du 2e pilier de 6,8 à 6 %, avec des compensations et une meilleure couverture des bas revenus et des temps partiels. Référendum des syndicats.
6710|Biodiversité|Biodiversité|Environnement, énergie, nature|Renforcer la protection de la nature, du paysage et du patrimoine bâti, avec davantage de surfaces et de moyens. Initiative de Pro Natura et d'autres organisations.
6760|Financement uniforme des prestations (EFAS)|EFAS|Santé|Répartir selon une même clé entre caisses et cantons le financement de toutes les prestations, ambulatoires et hospitalières. Référendum du syndicat SSP.
6750|Bail : résiliation pour besoin propre|Bail : besoin propre|Transports, territoire, logement|Faciliter la résiliation du bail quand le bailleur veut utiliser le logement lui-même. Référendum de l'Association suisse des locataires.
6740|Bail : sous-location|Bail : sous-location|Transports, territoire, logement|Soumettre la sous-location à un accord écrit et la limiter à deux ans. Référendum de l'Association suisse des locataires.
6730|Extension des autoroutes|Autoroutes|Transports, territoire, logement|Crédit de 4,9 milliards pour six élargissements d'autoroutes. Référendum de l'ATE, soutenu par la gauche, le PVL et les organisations environnementales.
6770|Responsabilité environnementale|Responsabilité env.|Environnement, énergie, nature|Ramener en dix ans l'économie suisse dans les limites planétaires. Initiative des Jeunes Verts.
6790|e-ID étatique (2025)|e-ID étatique 2025|Institutions et numérique|Créer une identité électronique émise par l'État, facultative et gratuite, après l'échec de la version privée en 2021. Référendum des Amis de la Constitution, de Mass-voll, du Parti pirate et de la Jeune UDC.
6780|Impôt sur les résidences secondaires|Résidences secondaires|Fiscalité et finances|Permettre aux cantons de taxer spécialement les résidences secondaires, condition de la suppression de la valeur locative.
6810|Initiative pour l'avenir (successions)|Initiative pour l'avenir|Fiscalité et finances|Imposer à 50 % les successions et donations de plus de 50 millions pour financer la lutte contre le changement climatique. Initiative de la Jeunesse socialiste.
6800|Service citoyen|Service citoyen|Armée et sécurité|Remplacer l'obligation de servir des hommes par un service citoyen pour tous, au profit de la collectivité et de l'environnement. Initiative d'une association, soutenue par le PVL et le PEV.
6850|Imposition individuelle|Imposition individuelle|Fiscalité et finances|Imposer chaque personne individuellement, quel que soit son état civil, pour supprimer la pénalisation fiscale du mariage. Référendum de dix cantons et d'un comité UDC, Centre, PEV et UDF.
6840|Fonds climat|Fonds climat|Environnement, énergie, nature|Créer un fonds fédéral alimenté chaque année par 0,5 à 1 % du PIB pour financer la transition climatique. Initiative du PS et des Verts.
6830|SSR « 200 francs, ça suffit ! »|SSR 200 francs|Médias et culture|Ramener la redevance à 200 francs par ménage et en exempter les entreprises. Initiative d'un comité UDC, PLR et arts et métiers.
6823|Argent liquide : question subsidiaire|Liquide : subsidiaire|Économie et monnaie|En cas de double oui, préférer l'initiative (oui) ou le contre-projet (non).
6822|Argent liquide : contre-projet|Liquide : contre-projet|Économie et monnaie|Inscrire dans la Constitution le franc suisse et le devoir de la BNS de garantir l'approvisionnement en numéraire. Contre-projet direct des autorités.
6821|Argent liquide (« l'argent liquide, c'est la liberté »)|Argent liquide|Économie et monnaie|Garantir dans la Constitution la disponibilité des pièces et des billets, et soumettre au vote tout remplacement du franc. Initiative du Mouvement suisse pour la liberté.
6870|Loi sur le service civil|Service civil|Armée et sécurité|Durcir l'accès au service civil pour freiner les départs de l'armée : 150 jours au minimum, plus d'admission après l'école de recrues achevée, facteur 1,5 pour les cadres. Référendum de Civiva, du PS, des Verts et du PEV.
6860|« Pas de Suisse à 10 millions »|10 millions|Immigration et souveraineté|Maintenir la population résidente permanente sous 10 millions d'ici 2050, jusqu'à dénoncer la libre circulation avec l'UE si le seuil menace d'être franchi. Initiative de l'UDC.
